 Culture, Criticality, CriticalityModifier, InitialKnown, InterDependency, Dynamism, Size, Plan, Team Size, Completionrates+, Idlerates-, Overallcost-
0.1948625659603821,0.9144495484582452,0.0977332753633059,0.6905378386943274,0.818712318625283,0.7382113411898976,0.6192804099882444,0.3555162780171828,0.0904847408602657,0.458917914,0.292997312,0.156521739
0.4959628820034754,0.5899798786766036,0.8104477249889103,0.0455247181207276,0.0130777296603762,0.3513895316583306,0.8342730857910612,0.7080344626275666,0.9586544716494912,0.280267866,0.395554284,0.0
0.9868629582045546,0.3910009264529698,0.8920741945276797,0.3927437144676959,0.7679224185705826,0.319390202587147,0.4945211291356989,0.6311625069655302,0.5351292587507904,0.157403506,0.179898447,0.0
0.0618272125700914,0.0635272422444334,0.9107542424187128,0.7607074130097028,0.8248981546517734,0.5323514437072239,0.8780770550876006,0.6893388093732228,0.9264342228657036,0.134536757,0.183895664,0.286956522
0.4590370817661472,0.6799151341559327,0.0195517560997751,0.5297186099627079,0.075170806610639,0.1339691524641134,0.8844242541980224,0.2459740948725031,0.8733503757148172,0.418714766,0.215362065,0.475471698
0.4704772646819598,0.6526604351555625,0.0410848594822543,0.6277615712900187,0.2283453643986983,0.512655520164502,0.9775766701363297,0.3809523316384323,0.9253300025696152,0.27580066,0.431372474,0.0
0.3828798074371133,0.4079639995496736,0.1172480331818088,0.6643197971821494,0.9395890024544402,0.6959113420147202,0.501230434621997,0.9363350141858772,0.035598526899779,0.155885269,0.419382136,0.329032258
0.4960270885407544,0.6293480023192911,0.6401327997492698,0.0690871720401191,0.1264580522037547,0.5449059739610667,0.1979382339078307,0.2464228658040566,0.2642838746904664,0.241579355,0.45641906,0.681081081
0.6056082938067692,0.7339263534286511,0.894114839636739,0.7089280677798871,0.9594876575059906,0.613609156027706,0.991488737677896,0.636459976906668,0.1729640727686923,0.378632827,0.513106578,0.203773585
0.94757597095488,0.96297218539739,0.1303504805006559,0.0610631934587851,0.4666374789939174,0.8111375860105463,0.5250225038212106,0.2076357216449104,0.1093849130094468,0.549361539,0.657019635,0.228571429
0.3507834768056003,0.8417643266961946,0.428565745100291,0.2740272211403129,0.3967533068978787,0.7324548573513031,0.9480928368246444,0.5161297915721783,0.8341252958325466,0.480027388,0.399952666,0.291428571
0.5265390129509124,0.1028021994182887,0.1305089299541222,0.6845321435731551,0.9661255872459584,0.8477025821664328,0.6207970953924102,0.1061383078389254,0.6527983069250276,0.109256454,0.457959981,0.109090909
0.2773233250837446,0.5659075149596214,0.7052882632157548,0.7835785123316384,0.2646529443796156,0.4096219275386938,0.6867893552395606,0.6419174148166816,0.1246642695667871,0.26781264,0.265574419,0.280851064
0.4424791455974416,0.6073820553963011,0.4516566263783559,0.4590786857142376,0.7882827991881932,0.8891028400619361,0.4329089539127777,0.6757222413908642,0.4020383380327402,0.113605873,0.515190013,0.6
0.1438114124694024,0.682387310696728,0.9315247564938094,0.9327231184880408,0.1970266166715203,0.5273340986808519,0.2081969901576765,0.1384393531317228,0.4357783898189632,0.234880809,0.210486453,0.0
